id,year,source,question,options_pipe,answer,image_url,image_note
1,2024,collegebatch.com (NEET PG 2024 Question Paper with Answer PDF),"Male not responding to O2, diagnosis ARDS. What is the role of IL-8 in ARDS?",Endothelial cell activation|Requirement of neutrophil|Macrophage activation|Promote surfactant production,Requirement of neutrophil,,
2,2024,collegebatch.com,A patient presents with the finding as shown. What is the best investigation for Wilson?,Urine Copper|Hepatic copper|Serum Ceruloplasmin|MRI Brain,Hepatic copper,,
3,2024,collegebatch.com,Which tumor is positive for TTF-1?,Squamous cell|Small cell|Adenocarcinoma|Carcinoid,Adenocarcinoma,,
4,2024,collegebatch.com,Vitamin to be supplemented after gastrectomy?,Vitamin A|Vitamin C|Vitamin B12|Vitamin D,Vitamin B12,,
5,2024,collegebatch.com,"10/m presents with cervical lymph node+, surface Ig+, CD34-, TdT-, CD10+, CD19+: which is the diagnosis?",Burkitt's Lymphoma|DLBCL|Anaplastic|B-ALL,Burkitt's Lymphoma,,
6,2024,collegebatch.com,Most common mutation in Papillary cell carcinoma?,BRAF V600E|RET|MET|RAS,BRAF V600E,,
7,2024,collegebatch.com,"Renal mass, haematuria, flank pain: which is the likely tumor?",Clear cell|Papillary|Chromophobe|Bellini,Chromophobe,,
8,2024,collegebatch.com,Which disease will show the following mode of inheritance? (options given),Wiskott|Wilson|Prader-Willi|Achondroplasia,Wiskott,,
9,2024,collegebatch.com,Young male died during exercise; on gross morphology septal thickening seen. Most common cause of death?,DCM|RCM|HOCM|Viral Myocarditis,HOCM,,
10,2024,collegebatch.com,Which statement is not true regarding von Willebrand disease?,VWD type 1 is mostly severe disease in children|VWD type 3 is mostly severe disease in children|VWD type 2 is more related to activity rather than levels|VWD type 3 has severely low VWF,VWD type 1 is mostly severe disease in children,,
11,2024,collegebatch.com,Child sunlight causes eruptions — DNA repair defect: which defect?,Nucleotide excision|Base excision repair|Mismatch repair defect|Recombination defect,Nucleotide excision,,
12,2024,collegebatch.com,"18/M with hepatosplenomegaly, Hb7 gm%, LN+, WBC50K, Platelets30K, petechiae — most appropriate management?",Cytarabine + ...|IVIG x 2 days|Prednisolone + Vinblastine|Radiotherapy to LN,Prednisolone + Vinblastine,,
13,2024,collegebatch.com,A baby failed to pass meconium; which layers' structures are absent in the disease?,Epithelial & Submucosa|Submucosa & Muscular|Muscular & Serosa|Epithelial & Serosa,Submucosa & Muscular,,
14,2024,collegebatch.com,Muscle responsible for ptosis in Horner syndrome:,Orbicularis oculi|Levator palpebrae|Horner muscle|Muller's muscle,Muller's muscle,,
15,2024,collegebatch.com,Patient presented after 3 years of cataract surgery with slit lamp finding — likely diagnosis?,Posterior capsular opacification (PCO)|Bullous keratopathy|Phakic glaucoma|Lens subluxation,Posterior capsular opacification (PCO),,
16,2024,collegebatch.com,Following perimetry image is suggestive of:,Extension of blind spot|Arcuate scotoma|Renee step defect|Altitudinal anopia,Extension of blind spot,,
17,2024,collegebatch.com,A patient came with nyctalopia; diagnosis?,Retinitis pigmentosa|Vitamin A deficiency|Retinal detachment|Diabetic retinopathy,Retinitis pigmentosa,,
18,2024,collegebatch.com,Patient was shown images A and B; image C was visualised. Likely diagnosis?,Left eye suppression|Right eye suppression|Crossed diplopia|Uncrossed diplopia,Right eye suppression,,
19,2024,collegebatch.com,A patient presents in eye OPD with this finding — diagnosis?,Dermoid|Lipodermoid|Pterygium|Papilloma,Dermoid,,
20,2024,collegebatch.com,"In Wilson disease, best choice of investigation is?",Serum copper|Ceruloplasmin|Hepatic copper estimation|Urine copper,Ceruloplasmin,,
21,2024,collegebatch.com,Clinical scenario about homocystinuria — which vitamin to be supplemented?,Thiamine|Vitamin B6|Biotin|Pyruvate,Vitamin B6,,
22,2024,collegebatch.com,"2-week-old baby with vomiting, acidosis, early cataract — which enzyme defective?",Galactose-1-phosphate uridyl transferase|Galactokinase|Hexokinase|Aldose reductase,Galactose-1-phosphate uridyl transferase,,
23,2024,collegebatch.com,Diagnosis of MRI image:,Arnold Chiari malformation|Corpus callosal agenesis|Vein of Galen malformation|Dandy Walker malformation,Arnold Chiari malformation,,
24,2024,collegebatch.com,76-year-old on aspirin with minor trauma 3 weeks back; NCCT shows below — diagnosis?,SAH|EDH|Normal Study|Chronic SDH,Chronic SDH,,
25,2024,collegebatch.com,Diagnosis of MRCP image:,Gallbladder stone|Cholangiocarcinoma|Choledochal cyst|Gall and bile duct cancer,Cholangiocarcinoma,,
26,2024,collegebatch.com,"35-year-old nullipara with adnexal mass MRI T1 hyperintense, T2 low signal with dark shading — diagnosis?",Dermoid cyst|Endometrioma|Ovarian cancer|Para ovarian cyst,Endometrioma,,
27,2024,collegebatch.com,Diagnosis of plain X-ray abdomen showing features — likely?,Enterolith in jejunum|Calcific mediastinal lymph nodes|Horseshoe kidney with calculi|Chronic calcific pancreatitis,Chronic calcific pancreatitis,,
28,2024,collegebatch.com,Proteus infection leading to bladder stone — stone composition?,Calcium phosphate|Cysteine|Calcium oxalate|Xanthine,Calcium phosphate,,
29,2024,collegebatch.com,Correct statement regarding esophageal foreign body:,Right main bronchus is one site of constriction|Most common site of impaction is cricopharyngeus|Commonly seen in adults|Can't cause mediastinitis,Most common site of impaction is cricopharyngeus,,
30,2024,collegebatch.com,Gastrectomy patient needs supplemental which vitamin?,Vitamin C|Vitamin D|Vitamin B12|Vitamin A,Vitamin B12,,
